"DATE_ON","DATE_OFF","ARTIST","TITLE"
"1985-05-05","1985-05-11","Madonna","Crazy for You"
"1985-05-12","1985-05-18","Simple Minds","Don't You (Forget About Me)"
"1985-05-19","1985-06-01","Wham!","Everything She Wants"
"1985-06-02","1985-06-15","Tears for Fears","Everybody Wants to Rule the World"
"1985-06-16","1985-06-29","Bryan Adams","Heaven"
"1985-06-30","1985-07-06","Phil Collins","Sussudio"
"1985-07-07","1985-07-20","Duran Duran","A View to a Kill"
"1985-07-21","1985-07-27","Paul Young","Everytime You Go Away"
"1985-07-28","1985-08-17","Tears for Fears","Shout"
"1985-08-18","1985-08-31","Huey Lewis and the News","The Power of Love"
"1985-09-01","1985-09-14","John Parr","St. Elmo's Fire (Man in Motion)"
"1985-09-15","1985-10-05","Dire Straits","Money for Nothing"
"1985-10-06","1985-10-12","Ready For the World","Oh Sheila"
"1985-10-13","1985-10-19","a-ha","Take on Me"
"1985-10-20","1985-10-26","Whitney Houston","Saving All My Love for You"
"1985-10-27","1985-11-02","Stevie Wonder","Part-Time Lover"
"1985-11-03","1985-11-09","Jan Hammer","Miami Vice Theme"
"1985-11-10","1985-11-23","Starship","We Built This City"
"1985-11-24","1985-11-30","Phil Collins and Marilyn Martin","Separate Lives"
"1985-12-01","1985-12-14","Mr. Mister","Broken Wings"
"1985-12-15","1986-01-11","Lionel Richie","Say You, Say Me"
"1986-01-12","1986-02-08","Dionne and Friends","That's What Friends Are For"
"1986-02-09","1986-02-22","Whitney Houston","How Will I Know"
"1986-02-23","1986-03-08","Mr. Mister","Kyrie"
"1986-03-09","1986-03-15","Starship","Sara"
"1986-03-16","1986-03-22","Heart","These Dreams"
"1986-03-23","1986-04-12","Falco","Rock Me Amadeus"
"1986-04-13","1986-04-26","Prince","Kiss"
"1986-04-27","1986-05-03","Robert Palmer","Addicted to Love"
"1986-05-04","1986-05-10","Pet Shop Boys","West End Girls"
"1986-05-11","1986-05-31","Whitney Houston","Greatest Love of All"
"1986-06-01","1986-06-07","Madonna","Live to Tell"
"1986-06-08","1986-06-28","Patti LaBelle and Michael McDonald","On My Own"
"1986-06-29","1986-07-05","Billy Ocean","There'll Be Sad Songs (To Make You Cry)"
"1986-07-06","1986-07-12","Simply Red","Holding Back the Years"
"1986-07-13","1986-07-19","Genesis","Invisible Touch"
"1986-07-20","1986-07-26","Peter Gabriel","Sledgehammer"
"1986-07-27","1986-08-09","Peter Cetera","Glory of Love"
"1986-08-10","1986-08-23","Madonna","Papa Don't Preach"
"1986-08-24","1986-08-30","Steve Winwood","Higher Love"
"1986-08-31","1986-09-06","Bananarama","Venus"
"1986-09-07","1986-09-13","Berlin","Take My Breath Away"
"1986-09-14","1986-10-04","Huey Lewis and the News","Stuck With You"
"1986-10-05","1986-10-18","Janet Jackson","When I Think Of You"
"1986-10-19","1986-11-01","Cyndi Lauper","True Colors"
"1986-11-02","1986-11-15","Boston","Amanda"
"1986-11-16","1986-11-22","Human League","Human"
"1986-11-23","1986-11-29","Bon Jovi","You Give Love a Bad Name"
"1986-11-30","1986-12-06","Peter Cetera and Amy Grant","The Next Time I Fall"
"1986-12-07","1986-12-13","Bruce Hornsby and the Range","The Way It Is"
"1986-12-14","1987-01-10","Bangles","Walk Like an Egyptian"
"1987-01-11","1987-01-17","Gregory Abbott","Shake You Down"
"1987-01-18","1987-01-31","Billy Vera and the Beaters","At This Moment"
"1987-02-01","1987-02-07","Madonna","Open Your Heart"
"1987-02-08","1987-03-07","Bon Jovi","Livin' on a Prayer"
"1987-03-08","1987-03-14","Huey Lewis and the News","Jacob's Ladder"
"1987-03-15","1987-03-28","Club Nouveau","Lean on Me"
"1987-03-29","1987-04-11","Starship","Nothing's Gonna Stop Us Now"
"1987-04-12","1987-04-25","Aretha Franklin and George Michael","I Knew You Were Waiting (For Me)"
"1987-04-26","1987-05-09","Cutting Crew","(I Just) Died in Your Arms"
"1987-05-10","1987-05-30","U2","With or Without You"
"1987-05-31","1987-06-06","Kim Wilde","You Keep Me Hangin' On"
"1987-06-07","1987-06-13","Atlantic Starr","Always"
"1987-06-14","1987-06-20","Lisa Lisa and Cult Jam","Head to Toe"
"1987-06-21","1987-07-04","Whitney Houston","I Wanna Dance With Somebody (Who Loves Me)"
"1987-07-05","1987-07-25","Heart","Alone"
"1987-07-26","1987-08-01","Bob Seger","Shakedown"
"1987-08-02","1987-08-15","U2","I Still Haven't Found What I'm Looking For"
"1987-08-16","1987-08-22","Madonna","Who's That Girl"
"1987-08-23","1987-09-12","Los Lobos","La Bamba"
"1987-09-13","1987-09-19","Michael Jackson","I Just Can't Stop Loving You"
"1987-09-20","1987-10-03","Whitney Houston","Didn't We Almost Have It All"
"1987-10-04","1987-10-10","Whitesnake","Here I Go Again"
"1987-10-11","1987-10-17","Lisa Lisa and Cult Jam","Lost in Emotion"
"1987-10-18","1987-10-31","Michael Jackson","Bad"
"1987-11-01","1987-11-14","Tiffany","I Think We're Alone Now"
"1987-11-15","1987-11-21","Billy Idol","Mony Mony"
"1987-11-22","1987-11-28","Bill Medley and Jennifer Warnes","(I've Had) the Time of My Life"
"1987-11-29","1987-12-05","Belinda Carlisle","Heaven Is a Place on Earth"
"1987-12-06","1988-01-02","George Michael","Faith"
"1988-01-03","1988-01-09","Whitney Houston","So Emotional"
"1988-01-10","1988-01-16","George Harrison","Got My Mind Set On You"
"1988-01-17","1988-01-23","Michael Jackson","The Way You Make Me Feel"
"1988-01-24","1988-01-30","INXS","Need You Tonight"
"1988-01-31","1988-02-13","Tiffany","Could've Been"
"1988-02-14","1988-02-20","Expose'","Seasons Change"
"1988-02-21","1988-03-05","George Michael","Father Figure"
"1988-03-06","1988-03-19","Rick Astley","Never Gonna Give You Up"
"1988-03-20","1988-04-02","Michael Jackson","Man in the Mirror"
"1988-04-03","1988-04-16","Billy Ocean","Get Outta My Dreams, Get Into My Car"
"1988-04-17","1988-04-30","Whitney Houston","Where Do Broken Hearts Go"
"1988-05-01","1988-05-07","Terence Trent D'Arby","Wishing Well"
"1988-05-08","1988-05-21","Gloria Estefan","Anything For You"
"1988-05-22","1988-06-11","George Michael","One More Try"
"1988-06-12","1988-06-18","Rick Astley","Together Forever"
"1988-06-19","1988-06-25","Debbie Gibson","Foolish Beat"
"1988-06-26","1988-07-02","Michael Jackson","Dirty Diana"
"1988-07-03","1988-07-16","Cheap Trick","The Flame"
"1988-07-17","1988-07-23","Richard Marx","Hold On to the Nights"
"1988-07-24","1988-08-20","Steve Winwood","Roll With It"
"1988-08-21","1988-09-03","George Michael","Monkey"
"1988-09-04","1988-09-17","Guns N' Roses","Sweet Child o' Mine"
"1988-09-18","1988-10-01","Bobby McFerrin","Don't Worry, Be Happy"
"1988-10-02","1988-10-08","Def Leppard","Love Bites"
"1988-10-09","1988-10-15","UB40","Red Red Wine"
"1988-10-16","1988-10-29","Phil Collins","Groovy Kind of Love"
"1988-10-30","1988-11-05","Beach Boys","Kokomo"
"1988-11-06","1988-11-12","Escape Club","Wild, Wild West"
"1988-11-13","1988-11-26","Bon Jovi","Bad Medicine"
"1988-11-27","1988-12-03","Will To Power","Baby I Love Your Way-Free Bird Medley"
"1988-12-04","1988-12-17","Chicago","Look Away"
"1988-12-18","1989-01-07","Poison","Every Rose Has Its Thorn"
"1989-01-08","1989-01-14","Bobby Brown","My Perogative"
"1989-01-15","1989-01-28","Phil Collins","Two Hearts"
"1989-01-29","1989-02-04","Sheriff","When I'm With You"
"1989-02-05","1989-02-25","Paula Abdul","Straight Up"
"1989-02-26","1989-03-18","Debbie Gibson","Lost in Your Eyes"
"1989-03-19","1989-03-25","Mike and the Mechanics","The Living Years"
"1989-03-26","1989-04-01","Bangles","Eternal Flame"
"1989-04-02","1989-04-08","Roxette","The Look"
"1989-04-09","1989-04-15","Fine Young Cannibals","She Drives Me Crazy"
"1989-04-16","1989-05-06","Madonna","Like a Prayer"
"1989-05-07","1989-05-13","Bon Jovi","I'll Be There for You"
"1989-05-14","1989-05-27","Paula Abdul","Forever Your Girl"
"1989-05-28","1989-06-03","Michael Damian","Rock On"
"1989-06-04","1989-06-10","Bette Midler","Wind Beneath My Wings"
"1989-06-11","1989-06-17","New Kids On the Block","I'll Be Loving You (Forever)"
"1989-06-18","1989-06-24","Richard Marx","Satisfied"
"1989-06-25","1989-07-01","Milli Vanilli","Baby Don't Forget My Number"
"1989-07-02","1989-07-08","Fine Young Cannibals","Good Thing"
"1989-07-09","1989-07-15","Simply Red","If You Don't Know Me By Now"
"1989-07-16","1989-07-29","Martika","Toy Soldiers"
"1989-07-30","1989-08-05","Prince","Batdance"
"1989-08-06","1989-08-26","Richard Marx","Right Here Waiting"
"1989-08-27","1989-09-02","Paula Abdul","Cold Hearted"
"1989-09-03","1989-09-09","New Kids On the Block","Hangin' Tough"
"1989-09-10","1989-09-16","Gloria Estefan","Don't Wanna Lose You"
"1989-09-17","1989-09-30","Milli Vanilli","Girl I'm Gonna Miss You"
"1989-10-01","1989-10-28","Janet Jackson","Miss You Much"
"1989-10-29","1989-11-04","Roxette","Listen To Your Heart"
"1989-11-05","1989-11-18","Bad English","When I See You Smile"
"1989-11-19","1989-12-02","Milli Vanilli","Blame It On the Rain"
"1989-12-03","1989-12-16","Billy Joel","We Didn't Start the Fire"
"1989-12-17","1990-01-13","Phil Collins","Another Day In Paradise"
"1990-01-14","1990-02-03","Michael Bolton","How Am I Supposed To Live Without You"
"1990-02-04","1990-02-24","Paula Abdul","Opposites Attract"
"1990-02-25","1990-03-17","Janet Jackson","Escapade"
"1990-03-18","1990-03-31","Alannah Myles","Black Velvet"
"1990-04-01","1990-04-07","Taylor Dayne","Love Will Lead You Back"
"1990-04-08","1990-04-14","Tommy Page","I'll Be Your Everything"
"1990-04-15","1990-05-12","Sinead O'Connor","Nothing Compares 2 U"
"1990-05-13","1990-06-02","Madonna","Vogue"
"1990-06-03","1990-06-09","Wilson Phillips","Hold On"
"1990-06-10","1990-06-23","Roxette","It Must Have Been Love"
"1990-06-24","1990-07-14","New Kids On the Block","Step by Step"
"1990-07-15","1990-07-28","Glenn Medeiros feat. Bobby Brown","She Ain't Worth It"
"1990-07-29","1990-08-25","Mariah Carey","Vision of Love"
"1990-08-26","1990-09-01","Sweet Sensation","If Wishes Came True"
"1990-09-02","1990-09-08","Jon Bon Jovi","Blaze of Glory"
"1990-09-09","1990-09-22","Wilson Phillips","Release Me"
"1990-09-23","1990-09-29","Nelson","(Can't Live Without Your) Love and Affection"
"1990-09-30","1990-10-06","Maxi Priest","Close to You"
"1990-10-07","1990-10-13","George Michael","Praying for Time"
"1990-10-14","1990-10-20","James Ingram","I Don't Have the Heart"
"1990-10-21","1990-10-27","Janet Jackson","Black Cat"
"1990-10-28","1990-11-03","Vanilla Ice","Ice Ice Baby"
"1990-11-04","1990-11-24","Mariah Carey","Love Takes Time"
"1990-11-25","1990-12-01","Whitney Houston","I'm Your Baby Tonight"
"1990-12-02","1990-12-29","Stevie B","Because I Love You (The Postman Song)"
"1990-12-30","1991-01-12","Madonna","Justify My Love"
"1991-01-13","1991-01-19","Janet Jackson","Love Will Never Do (Without You)"
"1991-01-20","1991-02-02","Surface","The First Time"
"1991-02-03","1991-02-16","C+C Music Factory","Gonna Make You Sweat (Everybody Dance Now)"
"1991-02-17","1991-03-02","Whitney Houston","All the Man That I Need"
"1991-03-03","1991-03-16","Mariah Carey","Someday"
"1991-03-17","1991-03-23","Timmy T","One More Try"
"1991-03-24","1991-04-06","Gloria Estefan","Coming Out of the Dark"
"1991-04-07","1991-04-13","Londonbeat","I've Been Thinking About You"
"1991-04-14","1991-04-20","Wilson Phillips","You're In Love"
"1991-04-21","1991-05-04","Amy Grant","Baby Baby"
"1991-05-05","1991-05-11","Roxette","Joyride"
"1991-05-12","1991-05-18","Hi-Five","I Like the Way (The Kissing Game)"
"1991-05-19","1991-06-01","Mariah Carey","I Don't Wanna Cry"
"1991-06-02","1991-06-08","Extreme","More Than Words"
"1991-06-09","1991-07-13","Paula Abdul","Rush Rush"
"1991-07-14","1991-07-20","EMF","Unbelievable"
"1991-07-21","1991-09-07","Bryan Adams","(Everything I Do) I Do It for You"
"1991-09-08","1991-09-14","Paula Abdul","The Promise of a New Day"
"1991-09-15","1991-09-28","Color Me Badd","I Adore Mi Amor"
"1991-09-29","1991-10-05","Marky Mark and  the Funky Bunch","Good Vibrations"
"1991-10-06","1991-10-26","Mariah Carey","Emotions"
"1991-10-27","1991-11-02","Karyn White","Romantic"
"1991-11-03","1991-11-16","Prince","Cream"
"1991-11-17","1991-11-23","Michael Bolton","When a Man Loves a Woman"
"1991-11-24","1991-11-30","P.M. Dawn","Set Adrift on Memory Bliss"
"1991-12-01","1992-01-18","Michael Jackson","Black or White"
"1992-01-19","1992-01-25","Color Me Badd","All 4 Love"
"1992-01-26","1992-02-01","George Michael and Elton John","Don't Let the Sun Go Down on Me"
"1992-02-02","1992-02-22","Right Said Fred","I'm Too Sexy"
"1992-02-23","1992-03-14","Mr. Big","To Be With You"
"1992-03-15","1992-04-18","Vanessa Williams","Save the Best for Last"
"1992-04-19","1992-06-13","Kris Kross","Jump"
"1992-06-14","1992-06-27","Mariah Carey","I'll Be There"
"1992-06-28","1992-08-01","Sir Mix-a-Lot","Baby Got Back"
"1992-08-02","1992-08-08","Madonna","This Used to Be My Playground"
"1992-08-09","1992-11-07","Boyz II Men","End of the Road"
"1992-11-08","1992-11-21","Heights","How Do You Talk to an Angel"
"1992-11-22","1993-02-27","Whitney Houston","I Will Always Love You"
"1993-02-28","1993-03-06","Peabo Bryson and Regina Belle","A Whole New World (Aladdin's Theme)"
"1993-03-07","1993-04-24","Snow","Informer"
"1993-04-25","1993-05-08","Silk","Freak Me"
"1993-05-09","1993-07-03","Janet Jackson","That's the Way Love Goes"
"1993-07-04","1993-07-17","SWV","Weak"
"1993-07-18","1993-09-04","UB40","Can't Help Falling in Love"
"1993-09-05","1993-10-30","Mariah Carey","Dreamlover"
"1993-10-31","1993-12-04","Meat Loaf","I'd Do Anything for Love (But I Won't Do That)"
"1993-12-05","1993-12-18","Janet Jackson","Again"
"1993-12-19","1994-01-15","Mariah Carey","Hero"
"1994-01-16","1994-02-05","Bryan Adams, Rod Stewart, Sting","All for Love"
"1994-02-06","1994-03-05","Celine Dion","The Power of Love"
"1994-03-06","1994-04-02","Ace of Base","The Sign"
"1994-04-03","1994-04-30","R. Kelly","Bump N' Grind"
"1994-05-01","1994-05-14","Ace of Base","The Sign"
"1994-05-15","1994-07-30","All-4-One","I Swear"
"1994-07-31","1994-08-20","Lisa Loeb","Stay (I Missed You)"
"1994-08-21","1994-11-26","Boyz II Men","I'll Make Love to You"
"1994-11-27","1994-12-10","Boyz II Men","On Bended Knee"
"1994-12-11","1994-12-24","Ini Kamoze","Here Comes the Hotstepper"
"1994-12-25","1995-01-21","Boyz II Men","On Bended Knee"
"1995-01-22","1995-02-18","TLC","Creep"
"1995-02-19","1995-04-08","Madonna","Take a Bow"
"1995-04-09","1995-05-27","Montell Jordan","This Is How We Do It"
"1995-05-28","1995-07-01","Bryan Adams","Have You Ever Really Loved A Woman?"
"1995-07-02","1995-08-19","TLC","Waterfalls"
"1995-08-20","1995-08-26","Seal","Kiss from a Rose"
"1995-08-27","1995-09-02","Michael Jackson","You Are Not Alone"
"1995-09-03","1995-09-23","Coolio","Gangsta's Paradise"
"1995-09-24","1995-11-18","Mariah Carey","Fantasy"
"1995-11-19","1995-11-25","Whitney Houston","Exhale (Shoop Shoop)"
"1995-11-26","1996-03-16","Mariah Carey and Boyz II Men","One Sweet Day"
"1996-03-17","1996-04-27","Celine Dion","Because You Loved Me"
"1996-04-28","1996-05-11","Mariah Carey","Always Be My Baby"
"1996-05-12","1996-07-06","Bone Thugs-N-Harmony","Tha Crossroads"
"1996-07-07","1996-07-20","2Pac","How Do U Want It"
"1996-07-21","1996-07-27","Toni Braxton","You're Makin' Me High"
"1996-07-28","1996-11-02","Los Del Rio","Macarena (Bayside Boys Mix)"
"1996-11-03","1996-11-30","Blackstreet","No Diggity"
"1996-12-01","1997-02-15","Toni Braxton","Un-Break My Heart"
"1997-02-16","1997-03-15","Spice Girls","Wannabe"
"1997-03-16","1997-04-26","Puff Daddy feat. Mase","Can't Nobody Hold Me Down"
"1997-04-27","1997-05-17","Notorious B.I.G.","Hypnotize"
"1997-05-18","1997-06-07","Hanson","MMMBop"
"1997-06-08","1997-08-23","Puff Daddy and Faith Evans feat. 112","I'll Be Missing You"
"1997-08-24","1997-09-06","Notorious B.I.G. feat. Puff Daddy and Mase","Mo Money Mo Problems"
"1997-09-07","1997-09-27","Mariah Carey","Honey"
"1997-09-28","1997-10-04","Boyz II Men","4 Seasons of Loneliness"
"1997-10-05","1998-01-10","Elton John","Candle In the Wind 1997 / Something About the Way You Look Tonight"
"1998-01-11","1998-01-24","Savage Garden","Truly Madly Deeply"
"1998-01-25","1998-02-07","Janet Jackson","Together Again"
"1998-02-08","1998-02-21","Usher","Nice And Slow"
"1998-02-22","1998-03-07","Celine Dion","My Heart Will Go On (Love Theme From 'Titanic')"
"1998-03-08","1998-03-28","Will Smith","Gettin' Jiggy Wit It"
"1998-03-29","1998-04-18","K-Ci and JoJo","All My Life"
"1998-04-19","1998-05-16","Next","Too Close"
"1998-05-17","1998-05-23","Mariah Carey","My All"
"1998-05-24","1998-05-30","Next","Too Close"
"1998-05-31","1998-08-29","Brandy and Monica","The Boy Is Mine"
"1998-08-30","1998-09-26","Aerosmith","I Don't Want To Miss A Thing"
"1998-09-27","1998-10-10","Monica","The First Night"
"1998-10-11","1998-10-17","Barenaked Ladies","One Week"
"1998-10-18","1998-11-07","Monica","The First Night"
"1998-11-08","1998-11-21","Lauryn Hill","Doo Wop (That Thing)"
"1998-11-22","1998-11-28","Divine","Lately"
"1998-11-29","1999-01-09","R. Kelly and Celine Dion","I'm Your Angel"
"1999-01-10","1999-01-23","Brandy","Have You Ever?"
"1999-01-24","1999-02-06","Britney Spears","...Baby One More Time"
"1999-02-07","1999-03-06","Monica","Angel Of Mine"
"1999-03-07","1999-04-03","Cher","Believe"
"1999-04-04","1999-05-01","TLC","No Scrubs"
"1999-05-02","1999-06-05","Ricky Martin","Livin' La Vida Loca"
"1999-06-06","1999-07-10","Jennifer Lopez","If You Had My Love"
"1999-07-11","1999-07-17","Destiny's Child","Bills, Bills, Bills"
"1999-07-18","1999-07-24","Will Smith feat. Dru Hill and Kool Mo Dee","Wild Wild West"
"1999-07-25","1999-08-28","Christina Aguilera","Genie In A Bottle"
"1999-08-29","1999-09-11","Enrique Iglesias","Bailamos"
"1999-09-12","1999-10-02","TLC","Unpretty"
"1999-10-03","1999-10-16","Mariah Carey","Heartbreaker"
"1999-10-17","2000-01-08","Santana","Smooth"
"2000-01-09","2000-01-22","Christina Aguilera","What A Girl Wants"
"2000-01-23","2000-02-12","Savage Garden","I Knew I Loved You"
"2000-02-13","2000-02-19","Mariah Carey","Thank God I Found You"
"2000-02-20","2000-02-26","Savage Garden","I Knew I Loved You"
"2000-02-27","2000-03-11","Lonestar","Amazed"
"2000-03-12","2000-04-01","Destiny's Child","Say My Name"
"2000-04-02","2000-06-10","Santana feat. the Product G&B","Maria Maria"
"2000-06-11","2000-06-17","Aaliyah","Try Again"
"2000-06-18","2000-07-08","Enrique Iglesias","Be With You"
"2000-07-09","2000-07-15","Vertical Horizon","Everything You Want"
"2000-07-16","2000-07-22","Matchbox Twenty","Bent"
"2000-07-23","2000-08-05","'N Sync","It's Gonna Be Me"
"2000-08-06","2000-08-19","Sisqo","Incomplete"
"2000-08-20","2000-09-09","Janet Jackson","Doesn't Really Matter"
"2000-09-10","2000-10-07","Madonna","Music"
"2000-10-08","2000-11-04","Christina Aguilera","Come On Over Baby (All I Want Is You)"
"2000-11-05","2000-11-11","Creed","With Arms Wide Open"
"2000-11-12","2001-01-27","Destiny's Child","Independent Women Part 1"
"2001-01-28","2001-02-10","Shaggy feat. Ricardo "RikRok" Ducent","It Wasn't Me"
"2001-02-11","2001-02-17","Outkast","Ms. Jackson"
"2001-02-18","2001-03-17","Joe feat. Mystikal","Stutter"
"2001-03-18","2001-03-24","Crazy Town","Butterfly"
"2001-03-25","2001-03-31","Shaggy feat. Rayvon","Angel"
"2001-04-01","2001-04-07","Crazy Town","Butterfly"
"2001-04-08","2001-05-26","Janet","All For You"
"2001-05-27","2001-06-30","Christina Aguilera, Lil' Kim, Mya and Pink","Lady Marmalade"
"2001-07-01","2001-07-28","Usher","U Remind Me"
"2001-07-29","2001-08-11","Destiny's Child","Bootylicious"
"2001-08-12","2001-09-01","Alicia Keys","Fallin'"
"2001-09-02","2001-09-22","Jennifer Lopez","I'm Real"
"2001-09-23","2001-10-13","Alicia Keys","Fallin'"
"2001-10-14","2001-10-27","Jennifer Lopez","I'm Real"
"2001-10-28","2001-12-08","Mary J. Blige","Family Affair"
"2001-12-09","2001-12-15","Usher","U Got It Bad"
"2001-12-16","2002-01-12","Nickelback","How You Remind Me"
"2002-01-13","2002-02-16","Usher","U Got It Bad"
"2002-02-17","2002-03-02","Ja Rule feat. Ashanti","Always On Time"
"2002-03-03","2002-04-13","Jennifer Lopez feat. Ja Rule","Ain't It Funny"
"2002-04-14","2002-06-22","Ashanti","Foolish"
"2002-06-23","2002-08-10","Nelly","Hot In Herre"
"2002-08-11","2002-09-28","Nelly feat. Kelly Rowland","Dilemma"
"2002-09-29","2002-10-12","Kelly Clarkson","A Moment Like This"
"2002-10-13","2002-11-02","Nelly feat. Kelly Rowland","Dilemma"
"2002-11-03","2003-01-25","Eminem","Lose Yourself"
"2003-01-26","2003-02-01","B2K feat. P. Diddy","Bump, Bump, Bump"
"2003-02-02","2003-03-01","Jennifer Lopez feat. LL Cool J","All I Have"
"2003-03-02","2003-05-03","50 Cent","In Da Club"
"2003-05-04","2003-05-24","Sean Paul","Get Busy"
"2003-05-25","2003-06-21","50 Cent feat. Nate Dogg","21 Questions"
"2003-06-22","2003-07-05","Clay Aiken","This Is the Night"
"2003-07-06","2003-08-30","Beyonce feat. Jay-Z","Crazy In Love"
"2003-08-31","2003-09-27","Nelly, P. Diddy and Murphy Lee","Shake Ya Tailfeather"
"2003-09-28","2003-11-29","Beyonce feat. Sean Paul","Baby Boy"
"2003-11-30","2003-12-06","Ludacris feat. Shawna","Stand Up"
"2003-12-07","2004-02-07","OutKast","Hey Ya!"
"2004-02-08","2004-02-14","OutKast feat. Sleepy Brown","The Way You Move"
"2004-02-15","2004-02-21","Twista feat. Kanye West and Jamie Foxx","Slow Jamz"
"2004-02-22","2004-05-15","Usher feat. Lil Jon and Ludacris","Yeah!"
"2004-05-16","2004-07-03","Usher","Burn"
"2004-07-04","2004-07-10","Fantasia","I Believe"
"2004-07-11","2004-07-17","Usher","Burn"
"2004-07-18","2004-07-31","Usher","Confessions Part II"
"2004-08-01","2004-08-14","Juvenile feat. Soulja Slim","Slow Motion"
"2004-08-15","2004-09-04","Terror Squad","Lean Back"
"2004-09-05","2004-10-23","Ciara feat. Petey Pablo","Goodies"
"2004-10-24","2004-12-04","Usher and Alicia Keys","My Boo"
"2004-12-05","2004-12-25","Snoop Dogg feat. Pharrell","Drop It Like It's Hot"
"2004-12-26","2005-02-26","Mario","Let Me Love You"
"2005-02-27","2005-04-30","50 Cent feat. Olivia","Candy Shop"
"2005-05-01","2005-05-28","Gwen Stefani","Hollaback Girl"
"2005-05-29","2005-06-25","Mariah Carey","We Belong Together"
"2005-06-26","2005-07-02","Carrie Underwood","Inside Your Heaven"
"2005-07-03","2005-09-10","Mariah Carey","We Belong Together"
"2005-09-11","2005-11-19","Kanye West feat. Jamie Foxx","Gold Digger"
"2005-11-20","2005-12-24","Chris Brown","Run It!"
"2005-12-25","2006-01-07","Mariah Carey","Don't Forget About Us"
"2006-01-08","2006-01-14","D4L","Laffy Taffy"
"2006-01-15","2006-01-28","Nelly feat. Paul Wall, Ali and Gipp","Grillz"
"2006-01-29","2006-03-04","Beyonce feat. Slim Thug","Check on It"
"2006-03-05","2006-03-11","James Blunt","You're Beautiful"
"2006-03-12","2006-03-25","Ne-Yo","So Sick"
"2006-03-26","2006-04-01","Sean Paul","Temperature"
"2006-04-02","2006-05-06","Daniel Powter","Bad Day"
"2006-05-07","2006-05-27","Rihanna","SOS"
"2006-05-28","2006-06-10","Chamillionaire feat. Krayzie Bone","Ridin'"
"2006-06-11","2006-06-24","Shakira feat. Wyclef Jean","Hips Don't Lie"
"2006-06-25","2006-07-01","Taylor Hicks","Do I Make You Proud"
"2006-07-02","2006-08-12","Nelly Furtado feat. Timbaland","Promiscuous"
"2006-08-13","2006-09-02","Fergie","London Bridge"
"2006-09-03","2006-10-21","Justin Timberlake","SexyBack"
"2006-10-22","2006-11-04","Ludacris feat. Pharrell","Money Maker"
"2006-11-05","2006-11-25","Justin Timberlake feat. T.I.","My Love"
"2006-11-26","2006-12-09","Akon feat. Snoop Dogg","I Wanna Love You"
"2006-12-10","2007-02-17","Beyonce","Irreplaceable"
"2007-02-18","2007-02-24","Nelly Furtado","Say It Right"
"2007-02-25","2007-03-03","Justin Timberlake","What Goes Around...Comes Around"
"2007-03-04","2007-03-17","Mims","This Is Why I'm Hot"
"2007-03-18","2007-03-31","Fergie feat. Ludacris","Glamorous"
"2007-04-01","2007-04-14","Akon","Don't Matter"
"2007-04-15","2007-04-28","Timbaland feat. Nelly Furtado and Justin Timberlake","Give It to Me"
"2007-04-29","2007-05-05","Avril Lavigne","Girlfriend"
"2007-05-06","2007-05-19","Maroon 5","Makes Me Wonder"
"2007-05-20","2007-05-26","T-Pain feat. Yung Joc","Buy U A Drank (Shawty Snappin')"
"2007-05-27","2007-06-02","Maroon 5","Makes Me Wonder"
"2007-06-03","2007-07-21","Rihanna feat. Jay-Z","Umbrella"
"2007-07-22","2007-08-04","Plain White T's","Hey There Delilah"
"2007-08-05","2007-09-01","Sean Kingston","Beautiful Girls"
"2007-09-02","2007-09-08","Fergie","Big Girls Don't Cry"
"2007-09-09","2007-09-22","Soulja Boy","Crank That (Soulja Boy)"
"2007-09-23","2007-09-29","Kanye West","Stronger"
"2007-09-30","2007-11-03","Soulja Boy","Crank That (Soulja Boy)"
"2007-11-04","2007-11-24","Chris Brown feat. T-Pain","Kiss Kiss"
"2007-11-25","2007-12-29","Alicia Keys","No One"
"2007-12-30","2008-03-08","Flo Rida feat. T-Pain","Low"
"2008-03-09","2008-03-29","Usher feat. Young Jeezy","Love in This Club"
"2008-03-30","2008-04-05","Leona Lewis","Bleeding Love"
"2008-04-06","2008-04-19","Mariah Carey","Touch My Body"
"2008-04-20","2008-04-26","Leona Lewis","Bleeding Love"
"2008-04-27","2008-05-03","Lil Wayne feat. Static Major","Lollipop"
"2008-05-04","2008-05-17","Leona Lewis","Bleeding Love"
"2008-05-18","2008-05-24","Rihanna","Take a Bow"
"2008-05-25","2008-06-21","Lil Wayne feat. Static Major","Lollipop"
"2008-06-22","2008-06-28","Coldplay","Viva la Vida"
"2008-06-29","2008-08-16","Katy Perry","I Kissed a Girl"
"2008-08-17","2008-08-30","Rihanna","Disturbia"
"2008-08-31","2008-09-20","T.I.","Whatever You Like"
"2008-09-21","2008-09-27","Pink","So What"
"2008-09-28","2008-10-11","T.I.","Whatever You Like"
"2008-10-12","2008-10-18","T.I. feat. Rihanna","Live Your Life"
"2008-10-19","2008-10-25","Britney Spears","Womanizer"
"2008-10-26","2008-11-08","T.I.","Whatever You Like"
"2008-11-09","2008-12-06","T.I. feat. Rihanna","Live Your Life"
"2008-12-07","2008-12-13","Beyonce","Single Ladies (Put A Ring On It)"
"2008-12-14","2008-12-20","T.I. feat. Rihanna","Live Your Life"
"2008-12-21","2009-01-10","Beyonce","Single Ladies (Put A Ring On It)"
