"DATE_ON","DATE_OFF","ARTIST","TITLE"
"1965-06-27","1965-07-03","Four Tops","I Can't Help Myself (Sugar Pie, Honey Bunch)"
"1965-07-04","1965-07-31","Rolling Stones","(I Can't Get No) Satisfaction"
"1965-08-01","1965-08-07","Herman's Hermits","I'm Henry VIII, I Am"
"1965-08-08","1965-08-28","Sonny and Cher","I Got You Babe"
"1965-08-29","1965-09-18","Beatles","Help!"
"1965-09-19","1965-09-25","Barry McGuire","Eve of Destruction"
"1965-09-26","1965-10-02","McCoys","Hang On Sloopy"
"1965-10-03","1965-10-30","Beatles","Yesterday"
"1965-10-31","1965-11-13","Rolling Stones","Get Off Of My Cloud"
"1965-11-14","1965-11-27","Supremes","I Hear a Symphony"
"1965-11-28","1965-12-18","Byrds","Turn! Turn! Turn!"
"1965-12-19","1965-12-25","Dave Clark Five","Over And Over"
"1965-12-26","1966-01-01","Simon and Garfunkel","The Sounds of Silence"
"1966-01-02","1966-01-15","Beatles","We Can Work It Out"
"1966-01-16","1966-01-22","Simon and Garfunkel","The Sounds of Silence"
"1966-01-23","1966-01-29","Beatles","We Can Work It Out"
"1966-01-30","1966-02-12","Petula Clark","My Love"
"1966-02-13","1966-02-19","Lou Christie","Lightnin' Strikes"
"1966-02-20","1966-02-26","Nancy Sinatra","These Boots Are Made for Walkin'"
"1966-02-27","1966-04-02","Sgt. Barry Sadler","Ballad of the Green Beret"
"1966-04-03","1966-04-23","Righteous Brothers","(You're My) Soul and Inspiration"
"1966-04-24","1966-04-30","Young Rascals","Good Lovin'"
"1966-05-01","1966-05-21","Mamas and Papas","Monday Monday"
"1966-05-22","1966-06-04","Percy Sledge","When A Man Loves A Woman"
"1966-06-05","1966-06-18","Rolling Stones","Paint It Black"
"1966-06-19","1966-06-25","Beatles","Paperback Writer"
"1966-06-26","1966-07-02","Frank Sinatra","Strangers In the Night"
"1966-07-03","1966-07-09","Beatles","Paperback Writer"
"1966-07-10","1966-07-23","Tommy James and the Shondells","Hanky Panky"
"1966-07-24","1966-08-06","Troggs","Wild Thing"
"1966-08-07","1966-08-27","Lovin' Spoonful","Summer In the City"
"1966-08-28","1966-09-03","Donovan","Sunshine Superman"
"1966-09-04","1966-09-17","Supremes","You Can't Hurry Love"
"1966-09-18","1966-10-08","Association","Cherish"
"1966-10-09","1966-10-22","Four Tops","Reach Out, I'll Be There"
"1966-10-23","1966-10-29","Question Mark and the Mysterians","96 Tears"
"1966-10-30","1966-11-05","Monkees","Last Train To Clarksville"
